date,Indexed Sales,Public Sector Holidays,Weekday,School,University,Tiktok View,Tiktok Follower Gain,Tiktok Phone click,Instagram View,Instagram Followers,Facebook View,Facebook Follow,Ramazan,catagory,Influncer Post,Event ,Public Sector Salary,Private Sector Salary,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Tiktok View_Lag1,Tiktok View_Lag2,Tiktok View_Lag3,Tiktok Phone click_Lag1,Tiktok Phone click_Lag2,Tiktok Phone click_Lag3,Instagram View_Lag1,Instagram View_Lag2,Instagram View_Lag3,Facebook View_Lag1,Facebook View_Lag2,Facebook View_Lag3,Tiktok View_5Day_Window,Tiktok Phone click_5Day_Window,Instagram View_5Day_Window,Facebook View_5Day_Window,Total_Combined_Income,is_salary_day,day_name
2025-03-17,2.92,0,1,1,0,40363.0,35.0,4.0,35899,206.0,15245,7,1,5,0,,0,0,,,,,,,,,,,,,,,54609.0,44981.0,57421.0,12.0,18.0,15.0,30729.0,58032.0,91542.0,19284.0,52498.0,146047.0,243206.0,45.0,176513.0,147492.0,2.92,0,Monday
2025-03-18,2.453333333,0,1,1,0,29931.0,16.0,2.0,28364,155.0,32738,29,1,5,0,1.28,0,0,,,,,,,,,,,,,,,40363.0,54609.0,44981.0,4.0,12.0,18.0,35899.0,30729.0,58032.0,15245.0,19284.0,52498.0,309223.0,39.0,146534.0,127226.0,3.733333333,0,Tuesday
2025-03-19,2.44,0,1,1,0,73322.0,74.0,9.0,23489,155.0,27727,15,1,5,0,1.376,0,0,,,,,,,,,,,,,,,29931.0,40363.0,54609.0,2.0,4.0,12.0,28364.0,35899.0,30729.0,32738.0,15245.0,19284.0,380550.0,35.0,134827.0,144088.0,3.816,0,Wednesday
2025-03-20,2.564,0,1,1,0,110998.0,114.0,12.0,28053,108.0,32232,26,1,5,0,2.629333333,0,0,,,,,,,,,,,,,,,73322.0,29931.0,40363.0,9.0,2.0,4.0,23489.0,28364.0,35899.0,27727.0,32738.0,15245.0,456260.0,38.0,111926.0,140886.0,5.193333333,0,Thursday
2025-03-21,2.933333333,1,0,0,0,125936.0,144.0,8.0,19022,92.0,36146,20,1,5,0,1.495333333,0,0,,,,,,,,,,,,,,,110998.0,73322.0,29931.0,12.0,9.0,2.0,28053.0,23489.0,28364.0,32232.0,27727.0,32738.0,494643.0,38.0,103356.0,137949.0,4.428666666,0,Friday
2025-03-22,2.653333333,1,0,0,0,116073.0,143.0,7.0,12998,79.0,12043,6,1,5,0,1.719,0,0,,,,,,,,,,,,,,,125936.0,110998.0,73322.0,8.0,12.0,9.0,19022.0,28053.0,23489.0,36146.0,32232.0,27727.0,451477.0,34.0,99133.0,148274.0,4.372333333,0,Saturday
2025-03-23,2.428,1,1,0,0,68314.0,69.0,2.0,19794,63.0,29801,32,1,5,0,1.666666667,0,0,,,,,,,,,,,,,,,116073.0,125936.0,110998.0,7.0,8.0,12.0,12998.0,19022.0,28053.0,12043.0,36146.0,32232.0,434122.0,35.0,95095.0,147705.0,4.094666667,0,Sunday
2025-03-24,2.1,0,1,1,0,30156.0,7.0,5.0,19266,78.0,38052,33,1,5,0,1.026666667,0,0,,,,,,,,,,,,,,,68314.0,116073.0,125936.0,2.0,7.0,8.0,19794.0,12998.0,19022.0,29801.0,12043.0,36146.0,380308.0,34.0,95079.0,142077.0,3.1266666670000003,0,Monday
2025-03-25,2.434,0,1,1,0,93643.0,148.0,13.0,24015,450.0,31663,26,1,5,1,1.333333333,0,0,,,,,,,,,,,,,,,30156.0,68314.0,116073.0,5.0,2.0,7.0,19266.0,19794.0,12998.0,38052.0,29801.0,12043.0,299597.0,36.0,101188.0,163190.0,3.767333333,0,Tuesday
2025-03-26,2.466666667,0,1,1,0,72122.0,151.0,7.0,19006,197.0,30518,19,1,5,0,1.248,0,0,,,,,,,,,,,,,,,93643.0,30156.0,68314.0,13.0,5.0,2.0,24015.0,19266.0,19794.0,31663.0,38052.0,29801.0,253346.0,44.0,95250.0,137610.0,3.7146666670000004,0,Wednesday
2025-03-27,2.956,0,1,1,0,35362.0,77.0,9.0,19107,103.0,33156,23,1,5,0,1.613333333,1,0,,,,,,,,,,,,,,,72122.0,93643.0,30156.0,7.0,13.0,5.0,19006.0,24015.0,19266.0,30518.0,31663.0,38052.0,241009.0,44.0,85988.0,99819.0,4.569333332999999,1,Thursday
2025-03-28,2.589333333,0,0,1,0,22063.0,28.0,10.0,13856,70.0,4221,2,1,5,0,,0,0,,,,,,,,,,,,,,,35362.0,72122.0,93643.0,9.0,7.0,13.0,19107.0,19006.0,24015.0,33156.0,30518.0,31663.0,161683.0,43.0,89199.0,96732.0,2.589333333,0,Friday
2025-04-04,1.78,0,0,1,0,17819.0,-5.0,5.0,10004,42.0,261,0,0,5,0,,0,0,,,,,,,,,,,,,,,22063.0,35362.0,72122.0,10.0,9.0,7.0,13856.0,19107.0,19006.0,4221.0,33156.0,30518.0,180638.0,40.0,101843.0,97020.0,1.78,0,Friday
2025-04-06,1.701333333,0,1,1,1,14317.0,20.0,12.0,27226,64.0,28576,20,0,5,0,,0,0,,,,,,,,,,,,,,,17819.0,22063.0,35362.0,5.0,10.0,9.0,10004.0,13856.0,19107.0,261.0,4221.0,33156.0,292047.0,39.0,114641.0,91545.0,1.701333333,0,Sunday
2025-04-07,1.368,0,1,1,1,91077.0,86.0,4.0,31650,77.0,30806,29,0,5,0,,0,0,,,,,,,,,,,,,,,14317.0,17819.0,22063.0,12.0,5.0,10.0,27226.0,10004.0,13856.0,28576.0,261.0,4221.0,429054.0,39.0,127196.0,133116.0,1.368,0,Monday
2025-04-08,1.541333333,0,1,1,1,146771.0,224.0,8.0,31905,56.0,27681,24,0,5,0,,0,0,,,,,,,,,,,,,,,91077.0,14317.0,17819.0,4.0,12.0,5.0,31650.0,27226.0,10004.0,30806.0,28576.0,261.0,750324.0,47.0,148293.0,382509.0,1.541333333,0,Tuesday
2025-04-09,1.502666667,0,1,0,1,159070.0,221.0,10.0,26411,88.0,45792,26,0,5,0,,0,0,,,,,,,,,,,,,,,146771.0,91077.0,14317.0,8.0,4.0,12.0,31905.0,31650.0,27226.0,27681.0,30806.0,28576.0,911693.0,41.0,163745.0,515917.0,1.502666667,0,Wednesday
2025-04-11,1.725333333,0,0,1,1,339089.0,360.0,13.0,31101,179.0,249654,569,0,5,0,,0,0,,,,,,,,,,,,,,,159070.0,146771.0,91077.0,10.0,8.0,4.0,26411.0,31905.0,31650.0,45792.0,27681.0,30806.0,912191.0,44.0,192449.0,556157.0,1.725333333,0,Friday
2025-04-12,1.526666667,0,0,1,1,175686.0,210.0,6.0,42678,116.0,161984,369,0,5,0,,0,0,,,,,,,,,,,,,,,339089.0,159070.0,146771.0,13.0,10.0,8.0,31101.0,26411.0,31905.0,249654.0,45792.0,27681.0,941127.0,53.0,203222.0,542846.0,1.526666667,0,Saturday
2025-04-13,1.666666667,0,1,1,1,91575.0,68.0,7.0,60354,93.0,71046,119,0,5,0,,0,0,,,,,,,,,,,,,,,175686.0,339089.0,159070.0,6.0,13.0,10.0,42678.0,31101.0,26411.0,161984.0,249654.0,45792.0,884885.0,51.0,237165.0,526406.0,1.666666667,0,Sunday
2025-04-15,1.606666667,0,1,1,1,175707.0,82.0,17.0,42678,247.0,14370,36,0,5,0,,0,0,,,,,,,,,,,,,,,91575.0,175686.0,339089.0,7.0,6.0,13.0,60354.0,42678.0,31101.0,71046.0,161984.0,249654.0,583697.0,41.0,246718.0,327567.0,1.606666667,0,Tuesday
2025-04-16,1.624,1,1,0,1,102828.0,52.0,8.0,60354,162.0,29352,36,0,5,0,,0,0,,,,,,,,,,,,,,,175707.0,91575.0,175686.0,17.0,7.0,6.0,42678.0,60354.0,42678.0,14370.0,71046.0,161984.0,438693.0,36.0,231595.0,207042.0,1.624,0,Wednesday
2025-04-21,1.506666667,0,1,1,1,37901.0,8.0,3.0,40654,59.0,50815,38,0,5,0,,0,0,,,,,,,,,,,,,,,102828.0,175707.0,91575.0,8.0,17.0,7.0,60354.0,42678.0,60354.0,29352.0,14370.0,71046.0,379902.0,41.0,206998.0,180695.0,1.506666667,0,Monday
2025-04-22,1.338,0,1,1,1,30682.0,-3.0,1.0,27555,29.0,41459,23,0,5,0,,0,0,,,,,,,,,,,,,,,37901.0,102828.0,175707.0,3.0,8.0,17.0,40654.0,60354.0,42678.0,50815.0,29352.0,14370.0,228623.0,27.0,220886.0,238898.0,1.338,0,Tuesday
2025-04-23,1.34,0,1,1,1,32784.0,3.0,12.0,35757,36.0,44699,22,0,5,0,,0,0,,,,,,,,,,,,,,,30682.0,37901.0,102828.0,1.0,3.0,8.0,27555.0,40654.0,60354.0,41459.0,50815.0,29352.0,142390.0,27.0,219408.0,314155.0,1.34,0,Wednesday
2025-04-24,1.704,0,1,1,1,24428.0,-1.0,3.0,56566,42.0,72573,20,0,5,0,,0,0,,,,,,,,,,,,,,,32784.0,30682.0,37901.0,12.0,1.0,3.0,35757.0,27555.0,40654.0,44699.0,41459.0,50815.0,123089.0,28.0,230605.0,345242.0,1.704,0,Thursday
2025-04-25,1.730666667,0,0,1,1,16595.0,-1.0,8.0,58876,38.0,104609,29,0,5,0,,0,0,,,,,,,,,,,,,,,24428.0,32784.0,30682.0,3.0,12.0,1.0,56566.0,35757.0,27555.0,72573.0,44699.0,41459.0,107238.0,27.0,215733.0,310665.0,1.730666667,0,Friday
